data,nome,tipo,valor
2015-10-07,Moletom,Vendas,100.0
2015-10-07,Camiseta,Vendas,20.0
2015-10-08,Cine-Feira,Feira de Livros,-25.41
2015-10-08,Teatro,Outras despesas,-40.0
2015-10-09,Sacola,Vendas,7.0
2015-10-09,Cesta para Sorteio,Feira de Livros,-30.0
2015-10-09,Lanchonete,Aluguel,6934.0
2015-10-09,Enc. Licenciatura,Doação,-600.0
2015-10-09,Erica (2 dias + VT),Diaristas,-164.0
2015-10-13,Site Cefisma (trimestral),Manutenção do Site,-210.0
2015-10-14,Livraria,Aluguel,930.0
2015-10-14,Vanusa (2 dias + VT),Diaristas,-170.0
2015-10-14,Juros de mesas pranchão,Feira de Livros,-114.0
2015-10-14,Moletom,Vendas,100.0
2015-10-14,Purificador (filtro),Compras,-60.8
2015-10-15,Limpeza vidros Secretária,Outras despesas,-20.0
2015-10-15,Segurança (1 dia),Feira de Livros,-50.0
2015-10-16,Erica (2 dias + VT),Diaristas,-164.0
2015-10-16,Segurança (2 dias),Feira de Livros,-100.0
2015-10-16,Mangueira,Compras,-80.0
2015-10-18,Conta de Luz,Conta de Luz,-247.38
2015-10-19,Vanusa (2 dias + VT),Diaristas,-170.0
2015-10-19,Xerox,Aluguel,1448.0
2015-10-19,Vale,Funcionário-Marivalda,-500.0
2015-10-20,Caneca,Vendas,5.0
2015-10-21,Camiseta,Vendas,20.0
2015-10-22,Camiseta (cartão),Vendas,20.0
2015-10-27,Vanusa (2 dias + VT),Diaristas,-170.0
2015-10-27,Limpeza Festa (CA),Eventos,-75.0
2015-10-29,Onibus (BIFE),Outras despesas,-4700.0
2015-10-29,2 Canecas,Vendas,10.0
2015-10-29,Repasse,Repasse Atlética,-2640.78
2015-11-03,GPS,JB Contabilidade,-464.16
2015-11-03,DARF,JB Contabilidade,-12.97
2015-11-03,Camiseta,Vendas,20.0
2015-11-03,JB Contabilidade,JB Contabilidade,-394.0
2015-11-03,FGTS,JB Contabilidade,-103.72
2015-11-03,Salário,Funcionário-Marivalda,-1075.89
2015-11-03,Material Limpeza,Material de Limpeza,-502.6
2015-11-04,Erica (4 dias + VT),Diaristas,-328.0
2015-11-09,Camiseta,Vendas,20.0
2015-11-10,Erica (2 dias + VT),Diaristas,-164.0
2015-11-13,Vanusa (4 dias + VT),Diaristas,-340.0
2015-11-13,Verniz,Compras,-26.8
2015-11-16,Livraria,Aluguel,1100.0
2015-11-17,Erica (2 dias + VT),Diaristas,-164.0
2015-11-17,1º parcela do 13º salário,Funcionário-Marivalda,-555.67
2015-11-18,Vale,Funcionário-Marivalda,-500.0
2015-11-18,Camiseta,Vendas,20.0
2015-11-19,Vanusa (2 dias + VT),Diaristas,-170.0
2015-11-19,Mesa de som,Compras,-2631.0
2015-11-19,Iluminação som,Compras,-855.5
2015-11-23,Lanchonete,Aluguel,7500.0
